No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Regional,Mega
1,Bulbasaur,Bulbasaur,1,0.7,6.9,Grass,Poison,Overgrow,,Chlorophyll,87.5,12.5,0,20,Monster,Grass,45,64,1059860,Ordinary,45,49,49,65,65,45,318,0,0
2,Ivysaur,Ivysaur,1,1.0,13.0,Grass,Poison,Overgrow,,Chlorophyll,87.5,12.5,0,20,Monster,Grass,45,142,1059860,Ordinary,60,62,63,80,80,60,405,0,0
3,Venusaur,Venusaur,1,2.0,100.0,Grass,Poison,Overgrow,,Chlorophyll,87.5,12.5,0,20,Monster,Grass,45,263,1059860,Ordinary,80,82,83,100,100,80,525,0,1
4,Charmander,Charmander,1,0.6,8.5,Fire,,Blaze,,Solar Power,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,39,52,43,60,50,65,309,0,0
5,Charmeleon,Charmeleon,1,1.1,19.0,Fire,,Blaze,,Solar Power,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,58,64,58,80,65,80,405,0,0
6,Charizard,Charizard,1,1.7,90.5,Fire,Flying,Blaze,,Solar Power,87.5,12.5,0,20,Monster,Dragon,45,267,1059860,Ordinary,78,84,78,109,85,100,534,0,1
7,Squirtle,Squirtle,1,0.5,9.0,Water,,Torrent,,Rain Dish,87.5,12.5,0,20,Monster,Water1,45,63,1059860,Ordinary,44,48,65,50,64,43,314,0,0
8,Wartortle,Wartortle,1,1.0,22.5,Water,,Torrent,,Rain Dish,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,59,63,80,65,80,58,405,0,0
9,Blastoise,Blastoise,1,1.6,85.5,Water,,Torrent,,Rain Dish,87.5,12.5,0,20,Monster,Water1,45,265,1059860,Ordinary,79,83,100,85,105,78,530,0,1
10,Caterpie,Caterpie,1,0.3,2.9,Bug,,Shield Dust,,Run Away,50.0,50.0,0,15,Bug,,255,39,1000000,Ordinary,45,30,35,20,20,45,195,0,0
11,Metapod,Metapod,1,0.7,9.9,Bug,,Shed Skin,,,50.0,50.0,0,15,Bug,,120,72,1000000,Ordinary,50,20,55,25,25,30,205,0,0
12,Butterfree,Butterfree,1,1.1,32.0,Bug,Flying,Compound Eyes,,Tinted Lens,50.0,50.0,0,15,Bug,,45,198,1000000,Ordinary,60,45,50,90,80,70,395,0,0
13,Weedle,Weedle,1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,50.0,50.0,0,15,Bug,,255,39,1000000,Ordinary,40,35,30,20,20,50,195,0,0
14,Kakuna,Kakuna,1,0.6,10.0,Bug,Poison,Shed Skin,,,50.0,50.0,0,15,Bug,,120,72,1000000,Ordinary,45,25,50,25,25,35,205,0,0
15,Beedrill,Beedrill,1,1.0,29.5,Bug,Poison,Swarm,,Sniper,50.0,50.0,0,15,Bug,,45,198,1000000,Ordinary,65,90,40,45,80,75,395,0,1
16,Pidgey,Pidgey,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50.0,50.0,0,15,Flying,,255,50,1059860,Ordinary,40,45,40,35,35,56,251,0,0
17,Pidgeotto,Pidgeotto,1,1.1,30.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50.0,50.0,0,15,Flying,,120,122,1059860,Ordinary,63,60,55,50,50,71,349,0,0
18,Pidgeot,Pidgeot,1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50.0,50.0,0,15,Flying,,45,240,1059860,Ordinary,83,80,75,70,70,101,479,0,1
19,Rattata,Rattata,1,0.3,3.5,Normal,,Run Away,Guts,Hustle,50.0,50.0,0,15,Ground,,255,51,1000000,Ordinary,30,56,35,25,35,72,253,1,0
20,Raticate,Raticate,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,50.0,50.0,0,15,Ground,,127,145,1000000,Ordinary,55,81,60,50,70,97,413,1,0
21,Spearow,Spearow,1,0.3,2.0,Normal,Flying,Keen Eye,,Sniper,50.0,50.0,0,15,Flying,,255,52,1000000,Ordinary,40,60,30,31,31,70,262,0,0
22,Fearow,Fearow,1,1.2,38.0,Normal,Flying,Keen Eye,,Sniper,50.0,50.0,0,15,Flying,,90,155,1000000,Ordinary,65,90,65,61,61,100,442,0,0
23,Ekans,Ekans,1,2.0,6.9,Poison,,Intimidate,Shed Skin,Unnerve,50.0,50.0,0,20,Ground,Dragon,255,58,1000000,Ordinary,35,60,44,40,54,55,288,0,0
24,Arbok,Arbok,1,3.5,65.0,Poison,,Intimidate,Shed Skin,Unnerve,50.0,50.0,0,20,Ground,Dragon,90,157,1000000,Ordinary,60,95,69,65,79,80,448,0,0
25,Pikachu,Pikachu,1,0.4,6.0,Electric,,Static,,Lightning Rod,50.0,50.0,0,10,Ground,Fairy,190,112,1000000,Ordinary,35,55,40,50,50,90,320,0,0
26,Raichu,Raichu,1,0.8,30.0,Electric,,Static,,Lightning Rod,50.0,50.0,0,10,Ground,Fairy,75,243,1000000,Ordinary,60,90,55,90,80,110,485,1,0
27,Sandshrew,Sandshrew,1,0.6,12.0,Ground,,Sand Veil,,Sand Rush,50.0,50.0,0,20,Ground,,255,60,1000000,Ordinary,50,75,85,20,30,40,300,1,0
28,Sandslash,Sandslash,1,1.0,29.5,Ground,,Sand Veil,,Sand Rush,50.0,50.0,0,20,Ground,,90,158,1000000,Ordinary,75,100,110,45,55,65,450,1,0
29,Nidoran F,Nidoran F,1,0.4,7.0,Poison,,Poison Point,Rivalry,Hustle,0.0,100.0,0,20,Monster,Ground,235,55,1059860,Ordinary,55,47,52,40,40,41,275,0,0
30,Nidorina,Nidorina,1,0.8,20.0,Poison,,Poison Point,Rivalry,Hustle,0.0,100.0,0,20,Undiscovered,,120,128,1059860,Ordinary,70,62,67,55,55,56,365,0,0
31,Nidoqueen,Nidoqueen,1,1.3,60.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,0.0,100.0,0,20,Undiscovered,,45,253,1059860,Ordinary,90,92,87,75,85,76,505,0,0
32,Nidoran M,Nidoran M,1,0.5,9.0,Poison,,Poison Point,Rivalry,Hustle,100.0,0.0,0,20,Monster,Ground,235,55,1059860,Ordinary,46,57,40,40,40,50,273,0,0
33,Nidorino,Nidorino,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,100.0,0.0,0,20,Monster,Ground,120,128,1059860,Ordinary,61,72,57,55,55,65,365,0,0
34,Nidoking,Nidoking,1,1.4,62.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,100.0,0.0,0,20,Monster,Ground,45,253,1059860,Ordinary,81,102,77,85,75,85,505,0,0
35,Clefairy,Clefairy,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,25.0,75.0,0,10,Fairy,,150,113,800000,Ordinary,70,45,48,60,65,35,323,0,0
36,Clefable,Clefable,1,1.3,40.0,Fairy,,Cute Charm,Magic Guard,Unaware,25.0,75.0,0,10,Fairy,,25,242,800000,Ordinary,95,70,73,95,90,60,483,0,0
37,Vulpix,Vulpix,1,0.6,9.9,Fire,,Flash Fire,,Drought,25.0,75.0,0,20,Ground,,190,60,1000000,Ordinary,38,41,40,50,65,65,299,1,0
38,Ninetales,Ninetales,1,1.1,19.9,Fire,,Flash Fire,,Drought,25.0,75.0,0,20,Ground,,75,177,1000000,Ordinary,73,76,75,81,100,100,505,1,0
39,Jigglypuff,Jigglypuff,1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,25.0,75.0,0,10,Fairy,,170,95,800000,Ordinary,115,45,20,45,25,20,270,0,0
40,Wigglytuff,Wigglytuff,1,1.0,12.0,Normal,Fairy,Cute Charm,Competitive,Frisk,25.0,75.0,0,10,Fairy,,50,218,800000,Ordinary,140,70,45,85,50,45,435,0,0
41,Zubat,Zubat,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,50.0,50.0,0,15,Flying,,255,49,1000000,Ordinary,40,45,35,30,40,55,245,0,0
42,Golbat,Golbat,1,1.6,55.0,Poison,Flying,Inner Focus,,Infiltrator,50.0,50.0,0,15,Flying,,90,159,1000000,Ordinary,75,80,70,65,75,90,455,0,0
43,Oddish,Oddish,1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,50.0,50.0,0,20,Grass,,255,64,1059860,Ordinary,45,50,55,75,65,30,320,0,0
44,Gloom,Gloom,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,50.0,50.0,0,20,Grass,,120,138,1059860,Ordinary,60,65,70,85,75,40,395,0,0
45,Vileplume,Vileplume,1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,50.0,50.0,0,20,Grass,,45,245,1059860,Ordinary,75,80,85,110,90,50,490,0,0
46,Paras,Paras,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,50.0,50.0,0,20,Bug,Grass,190,57,1000000,Ordinary,35,70,55,45,55,25,285,0,0
47,Parasect,Parasect,1,1.0,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,50.0,50.0,0,20,Bug,Grass,75,142,1000000,Ordinary,60,95,80,60,80,30,405,0,0
48,Venonat,Venonat,1,1.0,30.0,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,50.0,50.0,0,20,Bug,,190,61,1000000,Ordinary,60,55,50,40,55,45,305,0,0
49,Venomoth,Venomoth,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,50.0,50.0,0,20,Bug,,75,158,1000000,Ordinary,70,65,60,90,75,90,450,0,0
50,Diglett,Diglett,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,50.0,50.0,0,20,Ground,,255,53,1000000,Ordinary,10,55,25,35,45,95,265,1,0
51,Dugtrio,Dugtrio,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,50.0,50.0,0,20,Ground,,50,149,1000000,Ordinary,35,100,50,50,70,120,425,1,0
52,Meowth,Meowth,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,50.0,50.0,0,20,Ground,,255,58,1000000,Ordinary,40,45,35,40,40,90,290,1,0
53,Persian,Persian,1,1.0,32.0,Normal,,Limber,Technician,Unnerve,50.0,50.0,0,20,Ground,,90,154,1000000,Ordinary,65,70,60,65,65,115,440,1,0
54,Psyduck,Psyduck,1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,50.0,50.0,0,20,Water1,Ground,190,64,1000000,Ordinary,50,52,48,65,50,55,320,0,0
55,Golduck,Golduck,1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,50.0,50.0,0,20,Water1,Ground,75,175,1000000,Ordinary,80,82,78,95,80,85,500,0,0
56,Mankey,Mankey,1,0.5,28.0,Fighting,,Vital Spirit,Anger Point,Defiant,50.0,50.0,0,20,Ground,,190,61,1000000,Ordinary,40,80,35,35,45,70,305,0,0
57,Primeape,Primeape,1,1.0,32.0,Fighting,,Vital Spirit,Anger Point,Defiant,50.0,50.0,0,20,Ground,,75,159,1000000,Ordinary,65,105,60,60,70,95,455,0,0
58,Growlithe,Growlithe,1,0.7,19.0,Fire,,Intimidate,Flash Fire,Justified,75.0,25.0,0,20,Ground,,190,70,1250000,Ordinary,55,70,45,70,50,60,350,1,0
59,Arcanine,Arcanine,1,1.9,155.0,Fire,,Intimidate,Flash Fire,Justified,75.0,25.0,0,20,Ground,,75,194,1250000,Ordinary,90,110,80,100,80,95,555,1,0
60,Poliwag,Poliwag,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,50.0,50.0,0,20,Water1,,255,60,1059860,Ordinary,40,50,40,40,40,90,300,0,0
61,Poliwhirl,Poliwhirl,1,1.0,20.0,Water,,Water Absorb,Damp,Swift Swim,50.0,50.0,0,20,Water1,,120,135,1059860,Ordinary,65,65,65,50,50,90,385,0,0
62,Poliwrath,Poliwrath,1,1.3,54.0,Water,Fighting,Water Absorb,Damp,Swift Swim,50.0,50.0,0,20,Water1,,45,255,1059860,Ordinary,90,95,95,70,90,70,510,0,0
63,Abra,Abra,1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,75.0,25.0,0,20,Human-Like,,200,62,1059860,Ordinary,25,20,15,105,55,90,310,0,0
64,Kadabra,Kadabra,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,75.0,25.0,0,20,Human-Like,,100,140,1059860,Ordinary,40,35,30,120,70,105,400,0,0
65,Alakazam,Alakazam,1,1.5,48.0,Psychic,,Synchronize,Inner Focus,Magic Guard,75.0,25.0,0,20,Human-Like,,50,250,1059860,Ordinary,55,50,45,135,95,120,500,0,1
66,Machop,Machop,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,75.0,25.0,0,20,Human-Like,,180,61,1059860,Ordinary,70,80,50,35,35,35,305,0,0
67,Machoke,Machoke,1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,75.0,25.0,0,20,Human-Like,,90,142,1059860,Ordinary,80,100,70,50,60,45,405,0,0
68,Machamp,Machamp,1,1.6,130.0,Fighting,,Guts,No Guard,Steadfast,75.0,25.0,0,20,Human-Like,,45,253,1059860,Ordinary,90,130,80,65,85,55,505,0,0
69,Bellsprout,Bellsprout,1,0.7,4.0,Grass,Poison,Chlorophyll,,Gluttony,50.0,50.0,0,20,Grass,,255,60,1059860,Ordinary,50,75,35,70,30,40,300,0,0
70,Weepinbell,Weepinbell,1,1.0,6.4,Grass,Poison,Chlorophyll,,Gluttony,50.0,50.0,0,20,Grass,,120,137,1059860,Ordinary,65,90,50,85,45,55,390,0,0
71,Victreebel,Victreebel,1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,50.0,50.0,0,20,Grass,,45,245,1059860,Ordinary,80,105,65,100,70,70,490,0,0
72,Tentacool,Tentacool,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,50.0,50.0,0,20,Water3,,190,67,1250000,Ordinary,40,40,35,50,100,70,335,0,0
73,Tentacruel,Tentacruel,1,1.6,55.0,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,50.0,50.0,0,20,Water3,,60,180,1250000,Ordinary,80,70,65,80,120,100,515,0,0
74,Geodude,Geodude,1,0.4,20.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,50.0,50.0,0,15,Mineral,,255,60,1059860,Ordinary,40,80,100,30,30,20,300,1,0
75,Graveler,Graveler,1,1.0,105.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,50.0,50.0,0,15,Mineral,,120,137,1059860,Ordinary,55,95,115,45,45,35,390,1,0
76,Golem,Golem,1,1.4,300.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,50.0,50.0,0,15,Mineral,,45,223,1059860,Ordinary,80,120,130,55,65,45,495,1,0
77,Ponyta,Ponyta,1,1.0,30.0,Fire,,Run Away,Flash Fire,Flame Body,50.0,50.0,0,20,Ground,,190,82,1000000,Ordinary,50,85,55,65,65,90,410,1,0
78,Rapidash,Rapidash,1,1.7,95.0,Fire,,Run Away,Flash Fire,Flame Body,50.0,50.0,0,20,Ground,,60,175,1000000,Ordinary,65,100,70,80,80,105,500,1,0
79,Slowpoke,Slowpoke,1,1.2,36.0,Water,Psychic,Oblivious,Own Tempo,Regenerator,50.0,50.0,0,20,Monster,Water1,190,63,1000000,Ordinary,90,65,65,40,40,15,315,1,0
80,Slowbro,Slowbro,1,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,50.0,50.0,0,20,Monster,Water1,75,172,1000000,Ordinary,95,75,110,100,80,30,490,1,1
81,Magnemite,Magnemite,1,0.3,6.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,0.0,0.0,100,20,Mineral,,190,65,1000000,Ordinary,25,35,70,95,55,45,325,0,0
82,Magneton,Magneton,1,1.0,60.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,0.0,0.0,100,20,Mineral,,60,163,1000000,Ordinary,50,60,95,120,70,70,465,0,0
83,Farfetch'd,Farfetch'd,1,0.8,15.0,Normal,Flying,Keen Eye,Inner Focus,Defiant,50.0,50.0,0,20,Flying,Ground,45,132,1000000,Ordinary,52,90,55,58,62,60,377,1,0
84,Doduo,Doduo,1,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,50.0,50.0,0,20,Flying,,190,62,1000000,Ordinary,35,85,45,35,35,75,310,0,0
85,Dodrio,Dodrio,1,1.8,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,50.0,50.0,0,20,Flying,,45,165,1000000,Ordinary,60,110,70,60,60,110,470,0,0
86,Seel,Seel,1,1.1,90.0,Water,,Thick Fat,Hydration,Ice Body,50.0,50.0,0,20,Water1,Ground,190,65,1000000,Ordinary,65,45,55,45,70,45,325,0,0
87,Dewgong,Dewgong,1,1.7,120.0,Water,Ice,Thick Fat,Hydration,Ice Body,50.0,50.0,0,20,Water1,Ground,75,166,1000000,Ordinary,90,70,80,70,95,70,475,0,0
88,Grimer,Grimer,1,0.9,30.0,Poison,,Stench,Sticky Hold,Poison Touch,50.0,50.0,0,20,Amorphous,,190,65,1000000,Ordinary,80,80,50,40,50,25,325,1,0
89,Muk,Muk,1,1.2,30.0,Poison,,Stench,Sticky Hold,Poison Touch,50.0,50.0,0,20,Amorphous,,75,175,1000000,Ordinary,105,105,75,65,100,50,500,1,0
90,Shellder,Shellder,1,0.3,4.0,Water,,Shell Armor,Skill Link,Overcoat,50.0,50.0,0,20,Water3,,190,61,1250000,Ordinary,30,65,100,45,25,40,305,0,0
